Doctor_ID,Name,Specialization,Phone,Email,Department,Years_Experience,Shift,Salary,Status
500,Sarah Robles,Pediatrics,19803798123,ashleywatson@example.net,Onco,4,Night,193497,On Leave
501,Maria Brown,Neurology,8.23E+14,brandymooney@example.net,Ortho,37,Evening,136942,On Leave
502,Laura Graves,Neurology,5789176893,powersdaniel@example.net,Cardio,25,Night,101679,Active
503,Heather Sherman,Cardiology,7892492600,bridgeselizabeth@example.net,Ortho,31,Evening,74433,Active
504,Ashley Taylor,Orthopedics,1.63E+14,uchan@example.net,Neuro,16,Morning,154329,Active
505,Elizabeth Wyatt,Oncology,5.36E+13,amy12@example.net,Cardio,1,Evening,166711,Active
506,Clarence Gutierrez,Orthopedics,3295204566,tracyjones@example.net,Neuro,19,Evening,128225,Active
507,Aaron Jones,Orthopedics,5318672384,walkerlori@example.org,Pedia,27,Evening,164157,On Leave
508,Francisco Parker,Pediatrics,9977893157,davidchen@example.com,Onco,27,Evening,146577,On Leave
509,Kelly Thomas,Orthopedics,1.45E+14,kevincarter@example.org,Ortho,11,Evening,177109,Active
510,Sarah Berry,Neurology,1.86E+14,john72@example.com,Cardio,30,Night,194212,On Leave
511,Dennis Dalton,Oncology,3.94E+13,nguyenandrea@example.net,Onco,18,Evening,67644,Active
512,Randy Soto,Orthopedics,4939566149,ashley37@example.com,Onco,2,Morning,155167,Active
513,Jonathan Gray,Neurology,9.56E+13,vschroeder@example.net,Ortho,37,Evening,120900,On Leave
514,Jody Morrison,Pediatrics,6.68E+13,johnsondavid@example.net,Ortho,37,Night,139913,On Leave
515,Mary Moss,Orthopedics,6.22E+13,rmartinez@example.com,Neuro,27,Evening,165602,On Leave
516,Jessica Hensley,Orthopedics,3.77E+14,meredithalexander@example.net,Ortho,15,Evening,73351,Active
517,James Oliver,Orthopedics,8.85E+12,crawfordjohn@example.org,Cardio,13,Morning,69665,On Leave
518,Mikayla Sims,Pediatrics,19346500549,erin83@example.org,Ortho,8,Evening,51505,Active
519,Brian Holloway,Neurology,5592834277,hillnatalie@example.org,Cardio,18,Night,55002,On Leave
