Staff_ID,Name,Role,Department,Shift,Phone,Email,Salary,Hire_Date,Status
8000,Rachel Mcgrath,Cleaner,Onco,Evening,5937040446,andregay@example.org,42016,7/1/2025,Resigned
8001,James Vasquez,Technician,Neuro,Night,403.673.9559,tracy81@example.net,22117,7/19/2022,Active
8002,Evan Jones,Pharmacist,Onco,Night,391.421.6200x469,nwang@example.com,43068,10/10/2024,Active
8003,Aaron Brown,Receptionist,Onco,Night,889-251-1981x883,christy38@example.org,76838,3/12/2025,Resigned
8004,Matthew Moore MD,Cleaner,Onco,Night,830.661.5505x14181,qconway@example.org,54148,1/4/2024,Active
8005,Angela Watson,Technician,Pedia,Night,-10227,nguyenchristina@example.org,51935,6/4/2025,Active
8006,Cameron Pace,Pharmacist,Cardio,Morning,001-635-780-2829x7959,ngreen@example.org,32493,12/12/2021,Resigned
8007,Amanda Vargas,Receptionist,Ortho,Night,+1-329-874-6026x8232,wangkyle@example.com,38611,11/20/2023,Resigned
8008,Christopher Kramer,Nurse,Ortho,Evening,(535)324-8058,qwalsh@example.com,63426,9/6/2023,Resigned
8009,Andrea Nielsen,Cleaner,Pedia,Evening,286-829-0513x278,robertopatton@example.com,72590,7/11/2022,Active
8010,Nancy Rivera,Nurse,Onco,Evening,+1-561-352-1092x44255,carla41@example.net,33341,3/23/2021,Resigned
8011,Rachel Ortega,Technician,Pedia,Morning,928-670-8536x29468,kimhelen@example.org,66409,5/22/2022,Active
8012,Rodney Schroeder,Pharmacist,Cardio,Morning,001-461-681-2649x91341,russelldiaz@example.com,79968,9/1/2023,Resigned
8013,Michelle Brown,Cleaner,Ortho,Night,256.512.6112x9208,michellewalter@example.org,25231,7/30/2024,Active
8014,Alexander Davis,Cleaner,Ortho,Evening,206-894-2543x0753,kevindixon@example.com,44930,3/5/2024,Active
8015,Kristina Barrett,Receptionist,Pedia,Morning,419-603-4042x203,swansonpatricia@example.com,24010,5/16/2025,Resigned
8016,Peter Clayton,Pharmacist,Ortho,Morning,001-959-893-2761x937,carrieshelton@example.org,58568,2/20/2024,Active
8017,Frank Schwartz,Cleaner,Onco,Evening,831.421.0952x58780,ibrown@example.com,74359,9/7/2022,Resigned
8018,Mr. Timothy Davis,Cleaner,Ortho,Morning,+1-370-500-1548x0816,porterbenjamin@example.net,78751,11/19/2024,Active
8019,Sheila Kelly,Nurse,Pedia,Morning,305-690-2379x0978,ronaldgreen@example.com,41617,12/23/2021,Active
8020,Miss Lisa Walters MD,Pharmacist,Ortho,Morning,+1-498-851-4122x339,twilliams@example.org,42849,9/19/2023,Active
8021,Joy White DDS,Technician,Onco,Morning,559-892-2428x25335,nicholasbuck@example.net,59189,6/10/2025,Resigned
8022,Heidi Anderson,Cleaner,Ortho,Evening,346.520.2050x097,mcrawford@example.net,53333,12/21/2023,Resigned
8023,Christina Gonzalez,Pharmacist,Pedia,Night,+1-653-667-2976x872,deleontheresa@example.org,74378,8/20/2024,Active
8024,Patrick Cunningham,Receptionist,Ortho,Night,574-749-7176x99099,charles27@example.org,76545,2/13/2021,Resigned
8025,Christopher Downs,Receptionist,Neuro,Evening,641.537.7996,gcontreras@example.com,45940,11/3/2020,Active
8026,Jason Nunez,Nurse,Pedia,Evening,339.260.4141,bryantbrandon@example.com,28143,8/2/2023,Active
8027,Shannon Ramos,Pharmacist,Ortho,Night,(370)629-8886x2415,teresameadows@example.net,40159,6/30/2024,Active
8028,Cole Johnson,Pharmacist,Pedia,Morning,852-470-5275,matthew84@example.com,61083,11/10/2021,Active
8029,Robert Torres,Receptionist,Pedia,Morning,581-251-8691x10606,jill21@example.com,32164,11/17/2021,Resigned
8030,Cindy Mendoza,Nurse,Ortho,Evening,001-997-538-6990,ymason@example.com,41688,8/5/2021,Active
8031,Michael Griffin,Pharmacist,Pedia,Evening,559-633-7415,christopher53@example.com,22721,11/23/2021,Active
8032,Laura Reid,Pharmacist,Cardio,Night,+1-597-441-9773x22118,yking@example.org,53701,12/8/2020,Resigned
8033,Rachel Greer,Technician,Cardio,Night,683-786-7635x5164,michael86@example.org,70971,9/24/2024,Active
8034,Mark Munoz,Cleaner,Neuro,Evening,2352537129,kimberly42@example.org,26201,1/6/2025,Active
8035,Emily Anderson,Nurse,Pedia,Morning,(550)424-4929x487,canderson@example.net,40305,11/15/2024,Resigned
8036,Robert Miller,Nurse,Pedia,Morning,001-712-478-0830x817,michelle07@example.org,54937,6/20/2025,Resigned
8037,Jonathan Miles,Pharmacist,Neuro,Night,(861)386-8571x081,matthew54@example.org,22106,8/7/2023,Resigned
8038,Steven Green,Nurse,Ortho,Night,001-445-337-9526,murphymatthew@example.org,22391,11/23/2021,Resigned
8039,Kristen Bernard,Technician,Onco,Morning,606.681.3836,jamescole@example.com,57235,12/15/2020,Active
8040,Elizabeth Young,Cleaner,Onco,Evening,623.804.3560x37925,dannyjones@example.com,35956,5/20/2022,Resigned
8041,Laura Ford,Receptionist,Ortho,Evening,5468117027,anthonykeller@example.com,76979,11/19/2021,Resigned
8042,Michelle Christian,Pharmacist,Cardio,Evening,(321)944-9862x982,watsonmichelle@example.org,62183,10/10/2021,Active
8043,Peter Cortez,Receptionist,Cardio,Night,001-517-427-4205x08803,stephaniejones@example.com,67026,1/17/2025,Resigned
8044,Cindy Bailey,Cleaner,Ortho,Evening,852.894.5610,amanda18@example.com,35920,12/15/2023,Active
8045,Joshua Burns,Cleaner,Ortho,Evening,001-670-962-7904x7963,jarvislaura@example.net,66743,4/18/2024,Active
8046,Michelle Dean,Receptionist,Cardio,Morning,+1-201-365-1964x292,barbarahuff@example.org,71226,3/11/2023,Active
8047,Mario Lyons,Receptionist,Ortho,Morning,448.270.2143x480,uoconnor@example.net,57112,1/30/2025,Resigned
8048,Joseph Wilcox PhD,Pharmacist,Onco,Night,(453)424-3226,kaitlynlee@example.org,49395,9/9/2022,Resigned
8049,Joshua Huber,Cleaner,Neuro,Evening,001-938-948-3467,weaverdeborah@example.net,64783,7/6/2022,Active
8050,Richard Burke,Technician,Onco,Night,8638326206,wilsoncalvin@example.net,71930,2/4/2023,Active
8051,Charlotte Williams,Cleaner,Pedia,Evening,-7105,figueroajermaine@example.net,54416,1/1/2024,Active
